State,Teen births,High school graduation,Some college,Infant mortality,Child mortality,Children eligible for free lunch
NC,42.4,0.763,0.578,8.3,62.7,0.444
NC,40.3,0.758,0.575,7.7,57.7,0.455
NC,44.2,0.77,0.419,8.6,50.2,0.417
NC,42.1,0.85,0.433,8,33.1,0.449
NC,53.8,0.825,0.464,,,0.523
NC,57.5,0.875,0.507,,,0.546
NC,60.7,0.76,0.377,10.4,65.4,0
NC,59.1,0.74,0.406,,85.8,0.693
NC,57,0.81,0.473,,,0.338
NC,56.1,0.8,0.491,,,0.363
NC,25.9,0.842,0.534,,,0.482
NC,25.6,0.911,0.558,,,0.503
NC,58.1,0.76,0.526,8,56.7,0.529
NC,57.9,0.72,0.538,6.4,64.7,0.545
NC,59.2,0.79,0.407,13,159.5,0.678
NC,57.1,0.72,0.379,15.4,104.2,0.749
NC,52.6,0.75,0.514,12,76.1,0.625
NC,50.1,0.8,0.531,11.8,65.8,0.654
NC,47.6,0.79,0.596,6.9,68.4,0.477
NC,45.2,0.84,0.592,7,63.3,0.489
NC,38.8,0.784,0.687,6.8,49,0.423
NC,36.6,0.807,0.687,6.3,48.6,0.447
NC,52.2,0.85,0.501,7.6,65.9,0.471
NC,50.2,0.85,0.489,8.7,54.8,0.484
NC,42.4,0.841,0.646,6.4,40.5,0.361
NC,39.9,0.856,0.652,5.6,34.7,0.356
NC,54.1,0.81,0.508,7.7,56.8,0.487
NC,52,0.85,0.522,8.6,59.6,0.495
NC,25.7,0.925,0.687,,,0.24
NC,23.6,0.875,0.705,,,0.237
NC,38.7,0.812,0.636,5.9,46,0.318
NC,35.6,0.821,0.65,6.3,53.7,0.349
NC,37.9,0.76,0.465,,69.9,0.551
NC,36.8,0.78,0.451,13.3,89.5,0.591
NC,50.3,0.842,0.562,7,65.3,0.435
NC,49.5,0.87,0.565,7.3,56.9,0.453
NC,42.4,0.755,0.609,7.3,52.9,0.383
NC,38.3,0.821,0.616,7.2,37.9,0.382
NC,45.7,0.86,0.579,12,60.6,0.508
NC,44.9,0.89,0.608,,53.4,0.522
NC,55.2,0.775,0.472,,,0.009
NC,54.7,0.775,0.537,,,0.537
NC,39.3,0.875,0.549,,,0.46
NC,33.8,0.875,0.486,,,0.483
NC,54.9,0.73,0.538,9.4,60.8,0.503
NC,52.9,0.78,0.564,9.7,70.3,0.542
NC,60.8,0.809,0.562,12,114.2,0.603
NC,57.1,0.814,0.567,12.4,82.1,0.601
NC,62.1,0.81,0.627,7.5,88.7,0.092
NC,59.9,0.86,0.619,8.4,76,0.411
NC,54.1,0.78,0.693,11,88.5,0.468
NC,51.9,0.81,0.699,10.4,81.9,0.478
NC,33.5,0.8,0.587,12.4,75,0.251
NC,33.5,0.87,0.558,11.6,54.2,0.283
NC,27.3,0.9,0.686,,77.5,0.284
NC,26.9,0.89,0.721,,44.1,0.328
NC,48.4,0.79,0.497,8.3,61.3,0.443
NC,46.5,0.819,0.526,7.9,61.6,0.462
NC,35.3,0.77,0.538,7.5,30.6,0.361
NC,33.4,0.83,0.552,,36.4,0.371
NC,63.8,0.69,0.444,9,86.1,0.602
NC,59.2,0.81,0.438,8.8,72,0.616
NC,41.3,0.74,0.712,6.6,73.7,0.509
NC,39.2,0.77,0.717,6.7,74.5,0.52
NC,65.8,0.75,0.496,12.3,89.9,0.705
NC,63.2,0.8,0.493,12.2,67.7,0.856
NC,44,0.79,0.632,10,84.3,0.471
NC,42.2,0.81,0.638,10.2,73.3,0.485
NC,43,0.79,0.51,7.1,57.8,0.497
NC,40.5,0.8,0.545,7.3,66.1,0.505
NC,55.4,0.749,0.57,9.5,77,0.061
NC,52.5,0.781,0.592,9.9,61.5,0.073
NC,37.2,0.825,0.488,,,0.397
NC,36.3,0.875,0.5,,,0.418
NC,64.4,0.875,0.444,,,0.464
NC,65.9,0.925,0.465,,,0.516
NC,37.7,0.67,0.515,6.5,54,0.436
NC,36.9,0.73,0.541,5,45.7,0.455
NC,57.6,0.76,0.475,16.1,106.1,0.651
NC,54.7,0.84,0.488,14.2,51,0.635
NC,32.4,0.83,0.669,9.4,74.3,0.46
NC,31.5,0.85,0.675,9.9,66.7,0.479
NC,63.2,0.737,0.492,15,79.9,0.466
NC,60.3,0.787,0.493,15.5,86.3,0.652
NC,44.4,0.73,0.623,9.6,78.9,0.46
NC,42.6,0.75,0.633,9,68.7,0.477
NC,46.3,0.79,0.546,7.7,53.7,0.447
NC,45.5,0.79,0.548,6.3,39.6,0.454
NC,50.3,0.83,0.629,6.2,48.5,0.435
NC,46.1,0.85,0.619,6.3,48.1,0.447
NC,58.7,0.84,0.531,18.2,118.1,0.335
NC,53.1,0.825,0.511,17.5,68,0.734
NC,61.5,0.7,0.618,9.6,71.7,0.432
NC,57.2,0.74,0.617,7.2,51.9,0.527
NC,50.3,,0.437,,,0.516
NC,47.3,,0.467,,,0.454
NC,41.9,0.862,0.626,7,50.3,0.323
NC,39.5,0.874,0.625,6.8,46.5,0.328
NC,27.3,0.77,0.582,,75.2,0.452
NC,27.5,0.86,0.598,,84.7,0.45
NC,48.2,0.79,0.589,6.8,61,0.377
NC,45.6,0.82,0.588,6.3,49.2,0.378
NC,42.1,0.775,0.554,,,0.635
NC,41.1,0.825,0.569,,,0.669
NC,69.7,0.8,0.484,7.3,62.3,0.531
NC,64.9,0.84,0.52,7.7,76.3,0.563
NC,63.1,0.72,0.508,11.9,94.9,0.607
NC,59,0.78,0.51,11,68.6,0.604
NC,43.6,0.827,0.564,5.4,64.5,0.357
NC,40.7,0.867,0.585,6.1,57.2,0.367
NC,50.9,0.85,0.495,,53.6,0.523
